avg_vote,metascore,reviews_from_users,reviews_from_critics,tomatometer_rating,audience_rating,usa_gross_income,worlwide_gross_income
6.1,47.0,154.0,288.0,89,31.0, 31081, 2631275
6.1,47.0,154.0,288.0,39,58.0, 31081, 2631275
6.1,47.0,154.0,288.0,52,44.0, 31081, 2631275
7.5,69.0,236.0,145.0,74,85.0, 8060487, 26522838
6.4,,46.0,29.0,100,70.0, 858553, 858553
6.4,,46.0,29.0,26,66.0, 858553, 858553
6.4,,46.0,29.0,62,50.0, 858553, 858553
6.6,47.0,170.0,52.0,25,64.0, 2484186, 4408011
6.4,61.0,240.0,98.0,91,62.0, 16071990, 16071990
7.6,63.0,929.0,502.0,69,79.0, 148809770, 441809770
6.4,44.0,218.0,270.0,22,46.0, 16008272, 29657751
6.5,58.0,281.0,115.0,80,69.0, 27107960, 27107960
7.6,64.0,837.0,427.0,100,89.0, 85817906, 211817906
7.6,64.0,837.0,427.0,76,84.0, 85817906, 211817906
8.5,96.0,262.0,146.0,100,95.0, 163577, 445226
5.7,41.0,234.0,246.0,100,69.0, 10508518, 17508518
5.7,41.0,234.0,246.0,21,36.0, 10508518, 17508518
7.2,78.0,416.0,124.0,94,76.0, 121248145, 350448145
7.3,83.0,814.0,384.0,85,81.0, 52898073, 152523164
6.1,,180.0,94.0,63,53.0, 103738726, 162738726
7.6,74.0,276.0,67.0,83,87.0, 50699241, 73956241
5.3,,78.0,33.0,92,60.0, 15057465, 15057465
6.1,47.0,219.0,117.0,89,85.0, 57890460, 170128460
6.1,47.0,219.0,117.0,46,57.0, 57890460, 170128460
7.6,95.0,229.0,166.0,98,78.0, 184925486, 184925486
7.6,89.0,145.0,84.0,100,77.0, 4335968, 4348890
7.6,89.0,145.0,84.0,98,82.0, 4335968, 4348890
7.6,89.0,145.0,84.0,90,79.0, 4335968, 4348890
6.1,59.0,90.0,47.0,100,77.0, 80000000, 80000000
6.1,59.0,90.0,47.0,98,82.0, 80000000, 80000000
6.1,59.0,90.0,47.0,90,79.0, 80000000, 80000000
7.7,88.0,2568.0,458.0,100,77.0, 215288866, 434888866
7.7,88.0,2568.0,458.0,98,82.0, 215288866, 434888866
7.7,88.0,2568.0,458.0,90,79.0, 215288866, 434888866
6.8,55.0,270.0,251.0,100,74.0, 137855863, 325286646
6.4,37.0,749.0,464.0,31,51.0, 89302115, 260502115
5.9,21.0,114.0,37.0,19,55.0, 42721196, 42721196
6.4,65.0,660.0,255.0,56,56.0, 15962471, 60917189
5.8,39.0,465.0,449.0,44,43.0, 98780042, 227817248
4.9,33.0,130.0,185.0,67,53.0, 42779261, 237382724
4.9,33.0,130.0,185.0,20,27.0, 42779261, 237382724
6.5,48.0,258.0,85.0,33,55.0, 56968902, 182968902
8.1,73.0,272.0,110.0,95,94.0, 144738, 144738
5.0,27.0,140.0,121.0,13,38.0, 26902075, 50007546
5.0,27.0,140.0,121.0,92,88.0, 26902075, 50007546
6.5,51.0,175.0,269.0,100,68.0, 66528000, 96262212
6.5,51.0,175.0,269.0,51,57.0, 66528000, 96262212
6.4,47.0,96.0,71.0,43,73.0, 22765081, 22765081
6.7,86.0,41.0,126.0,14,79.0, 702537, 2008649
6.7,86.0,41.0,126.0,96,64.0, 702537, 2008649
7.4,99.0,183.0,131.0,0,32.0, 84254167, 121892045
7.4,99.0,183.0,131.0,100,73.0, 84254167, 121892045
6.1,,152.0,88.0,36,44.0, 32063435, 48063435
